QTD,Bubblesort,Heapsort,Insertionsort,MegeSort,QuickSort,RadixSort
593,228140,15349,86507,11406,8505,4458
594,229500,15504,92886,11447,9241,6257
595,231081,15474,89865,11450,10145,6272
596,229647,15515,88860,11480,8401,6292
597,231037,15500,87714,11510,8846,4483
598,230497,15529,89092,11519,9320,6303
599,232720,15508,88034,11532,8691,4509
600,236311,15603,91635,11567,9201,4519
601,233561,15693,93002,11596,8991,6336
602,235927,15665,91909,11605,9721,6347
603,236189,15626,92589,11637,9289,6369
604,237966,15670,94568,11650,9046,4550
605,237095,15817,89184,11680,11068,6381
606,231935,15957,84416,11695,11706,6385
607,236963,15816,94088,11722,9577,6399
608,238517,15881,93047,11744,9684,6416
609,244385,15842,98133,11764,9332,6411
610,241386,15970,92579,11788,8770,6420
611,240815,15883,96015,11829,9223,6432
612,243036,15972,94358,11846,10038,4605
613,242794,16035,91659,11853,8791,6470
614,243770,16118,93583,11867,9708,6477
615,245107,16043,98291,11909,9289,6470
616,242774,16177,89135,11931,8966,6494
617,246429,16138,96949,11934,8985,6499
618,244068,16206,94280,11973,8900,6515
619,248063,16116,95782,11962,10089,6514
620,245997,16325,92502,11997,8609,4688
621,250496,16262,96918,12059,9266,4675
622,252168,16237,98810,12054,10050,4678
623,250612,16345,98153,12062,9740,6564
624,250360,16341,95899,12088,10034,4693
625,250150,16428,95843,12156,9310,6597
626,251252,16409,94561,12160,9564,937
627,258710,16445,102334,12183,10048,6617
628,255444,16438,97736,12206,9838,6616
629,258005,16471,103147,12220,9648,6633
630,255110,16653,97132,12240,8939,6637
631,255823,16611,100563,12277,10302,6639
632,256895,16655,100527,12316,10797,6674
633,254967,16685,99319,12342,9361,6663
634,255633,16684,98869,12309,9947,6691
635,262165,16618,104109,12351,9688,6696
636,262503,16707,102698,12366,10306,6700
637,260656,16782,100470,12402,10206,6723
638,263026,16709,104392,12425,9616,6736
639,262401,16859,103171,12425,10660,4797
640,262060,16885,103961,12459,10305,2890
641,265649,16861,104111,12511,9223,6748
642,264789,16782,105892,12532,10669,4845
643,265148,16974,104309,12524,9604,4833
644,264178,17027,98931,12556,10304,6783
645,269081,16946,104074,12574,9855,4864
646,269978,17059,104520,12589,10396,6820
647,264793,17104,98753,12603,9689,6825
648,266170,17184,102638,12631,9508,4863
649,271520,17148,105131,12668,10657,6848
650,268925,17132,105674,12681,11689,6854
651,272391,17210,104081,12711,9744,6855
652,274667,17221,106922,12723,8804,6872
653,273105,17128,105174,12779,9516,4912
654,274516,17256,106562,12771,11153,4923
655,271600,17259,101063,12819,10161,6899
656,275365,17450,104988,12812,10035,6915
657,276533,17501,105825,12844,10186,4942
658,278821,17377,109594,12838,9964,6927
659,279819,17371,109376,12905,10422,6942
660,280570,17433,113333,12932,10128,4969
661,282350,17547,113378,12967,8782,4986
662,277636,17645,105674,12967,10389,4991
663,280386,17576,108271,12983,9681,6981
664,280616,17581,114292,13007,10860,6998
665,282911,17635,111970,13051,10089,4994
666,278733,17790,101008,13071,10452,5010
667,283944,17673,111714,13068,11429,7026
668,286978,17753,111092,13117,10242,7038
669,285502,17579,112447,13141,11106,5033
670,283420,17815,108419,13137,10514,5044
671,292310,17872,115317,13171,10828,7093
672,289250,17805,115645,13171,11220,5065
673,289287,17880,116068,13210,10040,7090
674,291283,17927,113358,13229,10413,3042
675,290892,18041,109911,13252,10053,7110
676,296207,18013,113720,13284,12037,7133
677,289763,18052,109615,13317,10640,5089
678,293424,18045,114600,13328,10326,7156
679,291563,18102,110709,13336,10755,5112
680,296408,17942,121019,13370,10182,7175
681,296850,18143,116052,13396,10649,7176
682,298433,18211,114591,13426,10758,7186
683,298566,18214,114888,13448,10048,7180
684,298505,18174,118458,13441,10115,5154
685,299192,18225,114648,13488,10032,7212
686,300615,18269,116737,13524,11527,7227
687,304030,18317,120987,13504,10060,7246
688,303970,18415,121174,13530,10879,7243
689,303723,18325,125758,13550,10669,7259
690,302064,18411,115213,13590,10580,7276
691,304487,18366,120068,13605,9867,7281
692,305779,18569,118359,13633,10943,5201
693,304607,18608,114565,13655,10300,7292
694,304089,18475,118066,13693,10461,5217
695,308922,18469,122997,13702,10357,7308
696,309029,18663,117089,13738,11556,7331
697,307167,18558,124803,13749,11307,5233
698,312150,18650,122430,13802,10383,7355
699,312064,18707,124367,13796,11102,5270
700,307324,18853,113591,13810,12218,7353
701,314277,18838,120419,13862,9963,7372
702,313133,18750,123921,13879,9901,7377
703,315074,18813,123790,13901,10149,5289
704,313541,18866,124461,13917,10632,7420
705,316287,18881,123079,13930,11488,5308
706,312973,18976,117733,13938,10979,5322
707,318000,18985,123145,14003,11890,7452
708,319777,19011,120281,14020,10133,7468
709,321231,19068,124583,14032,10428,5338
